"Source:","/home/johann/Documents/Work/Electronics/KiCad/FirstKicadProject/FirstKicadProject.kicad_sch"
"Date:","Sat 11 Nov 2023 08:09:03 PM WAT"
"Tool:","Eeschema 7.0.8"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","3V","Battery_Cell","Battery:BatteryHolder_Keystone_1058_1x2032","Single-cell battery","",""
"D1","1","blue","LED","LED_THT:LED_D5.0mm","Light emitting diode","",""
"R1","1","1k","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
